name,word-precision,word-recall, word-fval,phrase-precision,phrase-recall, phrase-fval
2002.abstr,0.4,0.39,0.39,0.0,0.0,0.0
2003.abstr,0.58,0.69,0.63,0.11,0.2,0.14
2004.abstr,0.52,0.65,0.58,0.05,0.08,0.06
2005.abstr,0.59,0.61,0.6,0.11,0.13,0.12
2006.abstr,0.48,0.63,0.55,0.11,0.15,0.13
2007.abstr,0.61,0.61,0.61,0.2,0.2,0.2
2008.abstr,0.45,0.48,0.47,0.05,0.06,0.06
2009.abstr,0.44,0.46,0.45,0.05,0.07,0.06
201.abstr,0.19,0.63,0.29,0.0,0.0,0.0
2010.abstr,0.46,0.53,0.49,0.15,0.21,0.18
2011.abstr,0.56,0.52,0.54,0.11,0.13,0.12
2012.abstr,0.72,0.75,0.74,0.3,0.32,0.31
2013.abstr,0.73,0.9,0.81,0.25,0.4,0.31
2014.abstr,0.67,0.59,0.63,0.35,0.33,0.34
2015.abstr,0.58,0.68,0.62,0.1,0.15,0.12
2016.abstr,0.62,0.55,0.58,0.32,0.4,0.35
2017.abstr,0.58,0.57,0.58,0.26,0.29,0.28
2018.abstr,0.56,0.51,0.54,0.15,0.19,0.17
2019.abstr,0.74,0.52,0.61,0.3,0.22,0.26
202.abstr,0.38,0.33,0.36,0.05,0.07,0.06
2020.abstr,0.91,0.6,0.73,0.26,0.19,0.22
2021.abstr,0.6,0.92,0.73,0.2,0.33,0.25
2022.abstr,0.75,0.48,0.59,0.0,0.0,0.0
2023.abstr,0.48,0.26,0.34,0.22,0.17,0.2
2024.abstr,0.56,0.5,0.53,0.26,0.25,0.26
2025.abstr,0.71,0.69,0.7,0.4,0.38,0.39
2026.abstr,0.54,0.59,0.57,0.15,0.21,0.18
2027.abstr,0.68,0.84,0.75,0.25,0.31,0.28
2028.abstr,0.59,0.46,0.52,0.21,0.25,0.23
2029.abstr,0.52,0.65,0.58,0.15,0.25,0.19
203.abstr,0.5,0.5,0.5,0.16,0.25,0.19
2030.abstr,0.52,0.75,0.61,0.11,0.17,0.13
2031.abstr,0.39,0.56,0.46,0.15,0.21,0.18
2032.abstr,0.71,0.89,0.79,0.25,0.44,0.32
2033.abstr,0.57,0.75,0.65,0.1,0.2,0.13
2035.abstr,0.22,0.42,0.29,0.11,0.33,0.16
2036.abstr,0.47,0.78,0.58,0.09,0.25,0.13
2037.abstr,0.58,0.79,0.67,0.2,0.38,0.26
2038.abstr,0.39,0.75,0.51,0.11,0.33,0.16
2039.abstr,0.57,0.8,0.67,0.22,0.4,0.29
204.abstr,0.54,0.41,0.47,0.15,0.18,0.16
2040.abstr,0.65,0.85,0.73,0.33,0.57,0.42
2041.abstr,0.41,0.85,0.55,0.06,0.14,0.08
2042.abstr,0.53,0.63,0.58,0.15,0.23,0.18
2043.abstr,0.53,0.63,0.58,0.2,0.27,0.23
2044.abstr,0.44,0.57,0.5,0.11,0.18,0.13
2045.abstr,0.55,0.79,0.65,0.14,0.33,0.2
2046.abstr,0.25,0.7,0.37,0.1,0.33,0.15
2047.abstr,0.17,0.5,0.25,0.13,0.5,0.2
2048.abstr,0.17,0.43,0.24,0.0,0.0,0.0
2049.abstr,0.38,0.42,0.4,0.09,0.17,0.12
205.abstr,0.58,0.68,0.62,0.1,0.18,0.13
2050.abstr,0.17,0.38,0.23,0.08,0.2,0.11
2051.abstr,0.19,0.38,0.26,0.0,0.0,0.0
2052.abstr,0.14,0.4,0.21,0.12,0.29,0.17
2053.abstr,0.27,0.7,0.39,0.06,0.2,0.09
2054.abstr,0.16,0.63,0.26,0.05,0.2,0.08
2055.abstr,0.2,0.5,0.29,0.0,0.0,0.0
2056.abstr,0.38,0.63,0.48,0.2,0.36,0.26
2057.abstr,0.13,0.33,0.19,0.07,0.17,0.1
2058.abstr,0.31,0.71,0.43,0.08,0.25,0.13
2059.abstr,0.48,0.71,0.57,0.17,0.3,0.21
206.abstr,0.34,0.83,0.49,0.11,0.4,0.17
2060.abstr,0.44,0.62,0.52,0.13,0.33,0.19
2061.abstr,0.4,0.43,0.41,0.0,0.0,0.0
2062.abstr,0.26,0.55,0.35,0.23,0.38,0.29
2063.abstr,0.14,0.43,0.21,0.05,0.2,0.08
2064.abstr,0.08,0.22,0.12,0.06,0.17,0.08
2065.abstr,0.38,0.82,0.51,0.22,0.57,0.32
2066.abstr,0.2,0.4,0.27,0.1,0.22,0.14
